status,paper_url,issue_url,doi,joss_id,title,repo_url
published,https://joss.theoj.org/papers/10.21105/joss.00738,,10.21105/joss.00738,00738,dit: a Python package for discrete information theory,https://github.com/dit/dit
published,https://joss.theoj.org/papers/10.21105/joss.00558,,10.21105/joss.00558,00558,PetIBM: toolbox and applications of the immersed-boundary method on distributed-memory architectures,https://github.com/barbagroup/PetIBM
published,https://joss.theoj.org/papers/10.21105/joss.00729,,10.21105/joss.00729,00729,PyCM: Multiclass confusion matrix library in Python,https://github.com/sepandhaghighi/pycm
published,https://joss.theoj.org/papers/10.21105/joss.00745,,10.21105/joss.00745,00745,The Vascular Modeling Toolkit: A Python Library for the Analysis of Tubular Structures in Medical Images,https://github.com/vmtk/vmtk
published,https://joss.theoj.org/papers/10.21105/joss.00630,,10.21105/joss.00630,00630,HSImage: A Python and C++ library to allow interaction with ENVI-BIL hyperspectral images,https://github.com/DTChuck/HSImage
published,https://joss.theoj.org/papers/10.21105/joss.00731,,10.21105/joss.00731,00731,qqman: an R package for visualizing GWAS results using Q-Q and manhattan plots,https://github.com/stephenturner/qqman/tree/master/misc/paper
published,https://joss.theoj.org/papers/10.21105/joss.00699,,10.21105/joss.00699,00699,qicharts2: Quality Improvement Charts for R,https://github.com/anhoej/qicharts2
published,https://joss.theoj.org/papers/10.21105/joss.00622,,10.21105/joss.00622,00622,Open OnDemand: A web-based client portal for HPC centers,https://github.com/OSC/ondemand
published,https://joss.theoj.org/papers/10.21105/joss.00691,,10.21105/joss.00691,00691,ParticleScattering: Solving and optimizing multiple-scattering problems in Julia,https://github.com/bblankrot/ParticleScattering.jl
published,https://joss.theoj.org/papers/10.21105/joss.00596,,10.21105/joss.00596,00596,Nostril: A nonsense string evaluator written in Python,https://github.com/casics/nostril
published,https://joss.theoj.org/papers/10.21105/joss.00515,,10.21105/joss.00515,00515,scanstatistics: space-time anomaly detection using scan statistics,https://github.com/BenjaK/scanstatistics
published,https://joss.theoj.org/papers/10.21105/joss.00684,,10.21105/joss.00684,00684,malan: MAle Lineage ANalysis,https://github.com/mikldk/malan
published,https://joss.theoj.org/papers/10.21105/joss.00593,,10.21105/joss.00593,00593,Phylen: automatic phylogenetic reconstruction using the EggNOG database,https://github.com/iferres/phylen
published,https://joss.theoj.org/papers/10.21105/joss.00674,,10.21105/joss.00674,00674,MicroBenthos: a modeling framework for microbial benthic ecology,https://github.com/achennu/microbenthos
published,https://joss.theoj.org/papers/10.21105/joss.00660,,10.21105/joss.00660,00660,Mapelia and friends: create 3D models from maps,https://github.com/jordibc/mapelia
published,https://joss.theoj.org/papers/10.21105/joss.00721,,10.21105/joss.00721,00721,Suppdata: Downloading Supplementary Data from Published Manuscripts,https://github.com/ropensci/suppdata
published,https://joss.theoj.org/papers/10.21105/joss.00602,,10.21105/joss.00602,00602,Flux: Elegant machine learning with Julia,https://github.com/FluxML/Flux.jl
published,https://joss.theoj.org/papers/10.21105/joss.00629,,10.21105/joss.00629,00629,humanleague: a C++ microsynthesis package with R and python interfaces,https://github.com/virgesmith/humanleague
published,https://joss.theoj.org/papers/10.21105/joss.00617,,10.21105/joss.00617,00617,The MCAPL Framework including the Agent Infrastructure Layer an Agent Java Pathfinder,
published,https://joss.theoj.org/papers/10.21105/joss.00701,,10.21105/joss.00701,00701,EndoMineR for the extraction of endoscopic and associated pathology data from medical reports,https://github.com/ropensci/EndoMineR
published,https://joss.theoj.org/papers/10.21105/joss.00639,,10.21105/joss.00639,00639,LearnSAT: A SAT Solver for Education,https://github.com/motib/LearnSAT
published,https://joss.theoj.org/papers/10.21105/joss.00607,,10.21105/joss.00607,00607,eixport: An R package to export emissions to atmospheric models,https://github.com/atmoschem/eixport
published,https://joss.theoj.org/papers/10.21105/joss.00692,,10.21105/joss.00692,00692,GeoStats.jl -- High-performance geostatistics in Julia,https://github.com/juliohm/GeoStats.jl
published,https://joss.theoj.org/papers/10.21105/joss.00638,,10.21105/joss.00638,00638,MLxtend: Providing machine learning and data science utilities and extensions to Python's scientific computing stack,https://github.com/rasbt/mlxtend
published,https://joss.theoj.org/papers/10.21105/joss.00690,,10.21105/joss.00690,00690,qualtRics: retrieve survey data using the Qualtrics API,https://github.com/ropensci/qualtRics
published,https://joss.theoj.org/papers/10.21105/joss.00659,,10.21105/joss.00659,00659,"CLIMLAB: a Python toolkit for interactive, process-oriented climate modeling",https://github.com/brian-rose/climlab/
published,https://joss.theoj.org/papers/10.21105/joss.00657,,10.21105/joss.00657,00657,autoplotly: An R package for automatic generation of interactive visualizations for statistical results,https://github.com/terrytangyuan/autoplotly
